"DateChecked","Title","Rating","Description","Genre"
1611848280237,"1.TheShawshankRedemption(1994)","9.3","   Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Drama            "
1611848280238,"2.TheGodfather(1972)","9.2","   An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.","Crime, Drama            "
1611848280238,"3.TheDarkKnight(2008)","9.0","   When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action, Crime, Drama            "
1611848280238,"4.TheGodfather:PartII(1974)","9.0","   The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime, Drama            "
1611848280239,"5.12AngryMen(1957)","9.0","   A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.","Crime, Drama            "
1611848280239,"6.TheLordoftheRings:TheReturnoftheKing(2003)","8.9","   Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","Action, Adventure, Drama            "
1611848280240,"7.PulpFiction(1994)","8.9","   The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime, Drama            "
1611848280240,"8.Schindler'sList(1993)","8.9","   In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography, Drama, History            "
1611848280241,"9.Inception(2010)","8.8","   A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.","Action, Adventure, Sci-Fi            "
1611848280242,"10.FightClub(1999)","8.8","   An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","Drama            "
1611848280242,"11.TheLordoftheRings:TheFellowshipoftheRing(2001)","8.8","   A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","Action, Adventure, Drama            "
1611848280242,"12.ForrestGump(1994)","8.8","   The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Drama, Romance            "
1611848280243,"13.Ilbuono,ilbrutto,ilcattivo(1966)","8.8","   A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.","Western            "
1611848280244,"14.TheLordoftheRings:TheTwoTowers(2002)","8.7","   While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action, Adventure, Drama            "
1611848280244,"15.TheMatrix(1999)","8.7","   When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action, Sci-Fi            "
1611848280244,"16.Goodfellas(1990)","8.7","   The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Biography, Crime, Drama            "
1611848280245,"17.StarWars:EpisodeV-TheEmpireStrikesBack(1980)","8.7","   After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.","Action, Adventure, Fantasy            "
1611848280245,"18.OneFlewOvertheCuckoo'sNest(1975)","8.7","   A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","Drama            "
1611848280245,"19.Hamilton(2020)","8.6","   The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","Biography, Drama, History            "
1611848280246,"20.Gisaengchung(2019)","8.6","   Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.","Comedy, Drama, Thriller            "
1611848280246,"21.Interstellar(2014)","8.6","   A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","Adventure, Drama, Sci-Fi            "
1611848280247,"22.CidadedeDeus(2002)","8.6","   In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Crime, Drama            "
1611848280247,"23.SentoChihironokamikakushi(2001)","8.6","   During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Animation, Adventure, Family            "
1611848280247,"24.SavingPrivateRyan(1998)","8.6","   Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Drama, War            "
1611848280247,"25.TheGreenMile(1999)","8.6","   The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Crime, Drama, Fantasy            "
1611848280248,"26.Lavitaèbella(1997)","8.6","   When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","Comedy, Drama, Romance            "
1611848280248,"27.Se7en(1995)","8.6","   Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime, Drama, Mystery            "
1611848280248,"28.TheSilenceoftheLambs(1991)","8.6","   A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime, Drama, Thriller            "
1611848280248,"29.StarWars(1977)","8.6","   Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Action, Adventure, Fantasy            "
1611848280248,"30.Seppuku(1962)","8.6","   When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Action, Drama, Mystery            "
1611848280248,"31.Shichininnosamurai(1954)","8.6","   A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.","Action, Adventure, Drama            "
1611848280249,"32.It'saWonderfulLife(1946)","8.6","   An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.","Drama, Family, Fantasy            "
